Manager ID,Manager Name
520,lakewater advisors private limited
521,Landmark Capital Advisors Private Limited
522,LANDMARK CAPITAL ADVISORS PRIVATE LIMITED
523,LAPIS INDIA CAPITAL ADVISORS PRIVATE LIMITED
524,LATIN MANHARLAL SECURITIES PVT. LTD.
525,LFS BROKING PRIVATE LIMITED
526,Libord Finance Ltd.
527,LIC MUTUAL FUND ASSET MANAGEMENT LTD
528,LIC MUTUAL FUND ASSET MANAGEMENT LTD
529,LIC MUTUAL FUND ASSET MANAGEMENT LTD
530,LKP SECURITIES LTD
531,LKP SECURITIES LTD
532,LKP SHARES & SECURITIES LTD
533,LKS Murthy Inv.& Fin.Cons.P.Ltd
534,Lloyds Finance Limited
535,LogicTree Investment Advisers Private Limited
536,M HIND FINANCIAL SERVICES PVT LTD
537,M/S JHP SECURITIES PRIVATE LIMITED
538,M/s JHP Securities Private Limited
539,M/s JHP Securities Private Limited
540,M/s. Religare Macquarie Wealth Management Limited
541,"M/S.ASTEYA INVESTMENT MANAGERS LLP,"
542,Mafatlal Finance Co. Ltd.
543,MAFATLAL SECURITIES LTD
544,Magadh Capital Advisors LLP
545,MAGUS CAPITAL SERVICES PRIVATE LIMITED
546,MAIA FINANCIAL SERVICES PRIVATE LIMITED
547,MAJORTREND CAPITAL PVT LTD
548,MANGAL KESHAV SECURITIES LIMITED
549,Mangal Keshav Securities Limited
550,MANSUKH SECURITIES & FINANCE LIMITED
551,MAPE SECURITIES PRIVATE LIMITED
552,Marathon Trends Advisory Private Limited
553,Marcellus Investment Managers Private Limited
554,MARFATIA STOCK BROKING PRIVATE LIMITED
555,MARFATIA STOCK BROKING PRIVATE LIMITED
556,Marg Securities Limited.
557,MARKET CREATORS LTD
558,Market Creators Ltd.
559,MARWADI SHARES & FINANCE LTD.
560,MASTER PORTFOLIO SERVICES LTD
561,MASTER PORTFOLIO SERVICES LTD
562,MATA SECURIITIES INDIA PRIVATE LIMITED
563,MATA SECURITIES INDIA PRIVATE LTD
564,MATHS CAPITAL MANAGEMENT PVT. LTD.
565,Maximus Capital Research Pvt. Ltd.
566,MCC Finance Ltd. (Foresight Financial Se
567,MEFCOM CAPITAL MARKETS LTD
568,MEGACORPS LEASE FINANCE LTD
569,MEHTA EQUITIES LIMITED
570,MEHTA EQUITIES LTD.
571,Merbanc Financial Ser Ltd
572,MERCANTILE SECURITIES LTD.
573,Merisis Advisors Private Limited
574,MF GLOBAL SIFY SECURITIES INDIA PRIVATE LTD
575,MICROSEC CAPITAL LIMITED
576,MICROSEC WEALTH MANAGEMENT LIMITED
577,MIDEAST PORTFOLIO MANAGEMENT LTD.
578,MIDEAST PORTFOLIO MANAGEMENT LTD
579,MILESTONE CAPITAL ADVISORS PRIVATE LIMITED
580,Milestone Capital Advisors Private Limited
581,MILI CAPITAL MANAGEMENT PVT. LTD.
582,MILLENNIUM FINANCE LTD.
583,MILLENNIUM FINANCE LTD.
584,Milton Finance Ltd
585,Mittal Analytics Private Limited
586,MIV INVESTMENT SERVICES PVT. LTD.
